Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      9.49     0.00   194631     0.00     0.00  fmt::BasicWriter<char>::write(fmt::BasicCStringRef<char>, fmt::ArgList)
  0.00      9.49     0.00   194631     0.00     0.00  fmt::BasicFormatter<char, fmt::ArgFormatter<char> >::format(fmt::BasicCStringRef<char>)
  0.00      9.49     0.00   193050     0.00     0.00  void fmt::BasicWriter<char>::write_double<double, fmt::FormatSpec>(double, fmt::FormatSpec const&)
  0.00      9.49     0.00   121774     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      9.49     0.00   113112     0.00     0.00  boost::algorithm::detail::is_any_ofF<char>::is_any_ofF(boost::algorithm::detail::is_any_ofF<char> const&)
  0.00      9.49     0.00   109436     0.00     0.00  geopop::kd::Node<geopop::geogrid_detail::KdTree2DPoint, 0ul>::BorrowSplitChild(geopop::geogrid_detail::KdTree2DPoint const&) const
  0.00      9.49     0.00   108361     0.00     0.00  geopop::geogrid_detail::KdTree2DPoint::InBox(geopop::AABBox<geopop::geogrid_detail::KdTree2DPoint> const&) const
  0.00      9.49     0.00   107286     0.00     0.00  geopop::kd::Node<geopop::geogrid_detail::KdTree2DPoint, 1ul>::BorrowSplitChild(geopop::geogrid_detail::KdTree2DPoint const&) const
  0.00      9.49     0.00   106456     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      9.49     0.00    99772     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::basic_ptree()
