Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.86     0.00    99736     0.00     0.00  void boost::property_tree::detail::rapidxml::xml_document<char>::parse_node_contents<3136>(char*&, boost::property_tree::detail::rapidxml::xml_node<char>*)
  0.00      3.86     0.00    97677     0.00     0.00  void fmt::BasicWriter<char>::write_int<unsigned int, fmt::FormatSpec>(unsigned int, fmt::FormatSpec)
  0.00      3.86     0.00    96865     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      3.86     0.00    84834     0.00     0.00  boost::detail::function::functor_manager<boost::algorithm::detail::token_finderF<boost::algorithm::detail::is_any_ofF<char> > >::manage(boost::detail::function::function_buffer const&, boost::detail::function::function_buffer&, boost::detail::function::functor_manager_operation_type)
  0.00      3.86     0.00    83774     0.00     0.00  geopop::kd::Node<geopop::geogrid_detail::KdTree2DPoint, 0ul>::GetPoint() const
  0.00      3.86     0.00    75408     0.00     0.00  boost::algorithm::split_iterator<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::split_iterator(boost::algorithm::split_iterator<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      3.86     0.00    66803     0.00     0.00  fmt::BasicWriter<char>::write(fmt::BasicCStringRef<char>, fmt::ArgList)
  0.00      3.86     0.00    66803     0.00     0.00  fmt::BasicFormatter<char, fmt::ArgFormatter<char> >::format(fmt::BasicCStringRef<char>)
  0.00      3.86     0.00    66210     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long)
  0.00      3.86     0.00    65422     0.00     0.00  void fmt::BasicWriter<char>::write_double<double, fmt::FormatSpec>(double, fmt::FormatSpec const&)
  0.00      3.86     0.00    60184     0.00     0.00  geopop::geogrid_detail::KdTree2DPoint::InRadius(geopop::geogrid_detail::KdTree2DPoint const&, double) const
  0.00      3.86     0.00    60184     0.00     0.00  std::_Function_handler<bool (geopop::geogrid_detail::KdTree2DPoint const&), geopop::GeoAggregator<geopop::RadiusPolicy>::operator()<geopop::Collector<std::back_insert_iterator<std::vector<std::shared_ptr<geopop::Location>, std::allocator<std::shared_ptr<geopop::Location> > > >, std::shared_ptr<geopop::Location> > >(geopop::Collector<std::back_insert_iterator<std::vector<std::shared_ptr<geopop::Location>, std::allocator<std::shared_ptr<geopop::Location> > > >, std::shared_ptr<geopop::Location> >)::{lambda(geopop::geogrid_detail::KdTree2DPoint const&)#1}>::_M_invoke(std::_Any_data const&, geopop::geogrid_detail::KdTree2DPoint const&)
  0.00      3.86     0.00    40872     0.00     0.00  geopop::Location::AddIncomingCommutingLocation(std::shared_ptr<geopop::Location>, double)
  0.00      3.86     0.00    40872     0.00     0.00  geopop::Location::AddOutgoingCommutingLocation(std::shared_ptr<geopop::Location>, double)
  0.00      3.86     0.00    40086     0.00     0.00  boost::property_tree::string_path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::property_tree::id_translator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::reduce()
  0.00      3.86     0.00    40029     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::walk_path(boost::property_tree::string_path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::property_tree::id_translator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&) const
  0.00      3.86     0.00    39957     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::get_child(boost::property_tree::string_path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::property_tree::id_translator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      3.86     0.00    39957     0.00     0.00  __tcf_0
  0.00      3.86     0.00    39414     0.00     0.00  boost::enable_if<boost::property_tree::detail::is_translator<boost::property_tree::stream_translator<char, std::char_traits<char>, std::allocator<char>, double> >, double>::type boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::get_value<double, boost::property_tree::stream_translator<char, std::char_traits<char>, std::allocator<char>, double> >(boost::property_tree::stream_translator<char, std::char_traits<char>, std::allocator<char>, double>) const
  0.00      3.86     0.00    38347     0.00     0.00  void std::vector<stride::ContactPool*, std::allocator<stride::ContactPool*> >::_M_range_insert<__gnu_cxx::__normal_iterator<stride::ContactPool**, std::vector<stride::ContactPool*, std::allocator<stride::ContactPool*> > > >(__gnu_cxx::__normal_iterator<stride::ContactPool**, std::vector<stride::ContactPool*, std::allocator<stride::ContactPool*> > >, __gnu_cxx::__normal_iterator<stride::ContactPool**, std::vector<stride::ContactPool*, std::allocator<stride::ContactPool*> > >, __gnu_cxx::__normal_iterator<stride::ContactPool**, std::vector<stride::ContactPool*, std::allocator<stride::ContactPool*> > >, std::forward_iterator_tag)
  0.00      3.86     0.00    33411     0.00     0.00  spdlog::logger::_sink_it(spdlog::details::log_msg&)
  0.00      3.86     0.00    33385     0.00     0.00  spdlog::details::file_helper::write(spdlog::details::log_msg const&)
  0.00      3.86     0.00    33316     0.00     0.00  spdlog::sinks::rotating_file_sink<std::mutex>::_sink_it(spdlog::details::log_msg const&)
  0.00      3.86     0.00    33316     0.00     0.00  spdlog::sinks::base_sink<std::mutex>::log(spdlog::details::log_msg const&)
  0.00      3.86     0.00    33316     0.00     0.00  spdlog::details::v_formatter::format(spdlog::details::log_msg&, tm const&)
  0.00      3.86     0.00    33306     0.00     0.00  stride::Health::StartInfection()
  0.00      3.86     0.00    32170     0.00     0.00  void fmt::BasicWriter<char>::write_str<char, fmt::FormatSpec>(fmt::internal::Value::StringValue<char> const&, fmt::FormatSpec const&)
